Epoch,Loss
1,0.02853896539183516
2,0.010675289060956999
3,0.009888721440516996
4,0.009433146593544413
5,0.009210416624852108
6,0.008976449925160291
7,0.009239936690302748
8,0.008653955890194458
9,0.008657297790598343
10,0.00868816303281004
11,0.00826595903273818
12,0.007947252264392435
13,0.008255098601711877
14,0.00796143805571631
15,0.008102758342454977
16,0.0077863873219957535
17,0.008068571710621244
18,0.007912652200663133
19,0.007533966265755761
20,0.007551996352370171
21,0.007582827440380831
22,0.007374518338645644
23,0.007192175875317452
24,0.007294643469447014
25,0.007305183259578531
26,0.007232197146068382
27,0.0071213420939303055
28,0.007348941547759608
29,0.007150439737255082
30,0.0071068441394862595
31,0.006981357698118789
32,0.007009802004961553
33,0.006928920820035844
34,0.006969989940533232
35,0.006955918496447232
36,0.006937101006270477
37,0.006923583106767824
38,0.006886529499966213
39,0.006876847585754506
40,0.006839827077426747
41,0.00680743564061784
42,0.0068059926738451215
43,0.006811182696016177
44,0.006823030018530713
45,0.006798867619021193
46,0.006799146483935343
47,0.006824117279428916
48,0.006773973261599666
49,0.0067828013493186415
50,0.006783838428365176
