Filename,PSNR,SSIM
SLC_015_001_257L_minus_y_pola_V.npy,46.1502539706144,0.9381887562247957
SLC_015_117_151R_minus_y_pola_H.npy,49.488557178972734,0.9636876019796592
SLC_015_320_077R_plus.npy,46.03107935570851,0.8874280813876835
SLC_015_423_153R_plus.npy,47.30783689932717,0.9379025523122855
SLC_015_550_099L_plus_y_pola_V.npy,46.00976349983555,0.9074498990428017
SLC_016_447_265R_minus_y_pola_H.npy,39.13531169979006,0.9451169141936012
SLC_016_508_108R_plus.npy,43.49628339227297,0.9126021873692489
SLC_019_387_209L_plus.npy,47.56097602386507,0.9532862810532232
SLC_020_542_063L_plus.npy,45.09825428625551,0.883432295678254
SLC_021_119_246L_plus.npy,34.60764984460654,0.7557208441382071
SLC_024_430_045L_minus_y_pola_V.npy,46.291494508776694,0.9053592914491233
